tweet_id,text,timestamp,rating_numerator,rating_denominator,name,dog_stage,retweet_count,favorite_count,jpg_url,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
892420643555336193,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 ,2017-08-01 16:23:56,13,10,Phineas,None,8853.0,39467.0,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False
892177421306343426,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",2017-08-01 00:17:27,13,10,Tilly,None,6514.0,33819.0,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True
891815181378084864,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,2017-07-31 00:18:03,12,10,Archie,None,4328.0,25461.0,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True
891689557279858688,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,2017-07-30 15:58:51,13,10,Darla,None,8964.0,42908.0,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,Paper towel,0.17027799999999998,False,Labrador retriever,0.168086,True,Spatula,0.0408359,False
891327558926688256,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek ",2017-07-29 16:00:24,12,10,Franklin,None,9774.0,41048.0,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,Basset,0.555712,True,English springer,0.22577,True,German short-haired pointer,0.175219,True
891087950875897856,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek ,2017-07-29 00:08:17,13,10,None,None,3261.0,20562.0,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,Chesapeake bay retriever,0.425595,True,Irish terrier,0.116317,True,Indian elephant,0.07690219999999999,False
890971913173991426,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",2017-07-28 16:27:12,13,10,Jax,None,2158.0,12041.0,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,Appenzeller,0.34170300000000003,True,Border collie,0.199287,True,Ice lolly,0.193548,False
890729181411237888,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,2017-07-28 00:22:40,13,10,None,None,16716.0,56848.0,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,Pomeranian,0.566142,True,Eskimo dog,0.17840599999999998,True,Pembroke,0.0765069,True
890609185150312448,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek ,2017-07-27 16:25:51,13,10,Zoey,None,4429.0,28226.0,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,Irish terrier,0.487574,True,Irish setter,0.193054,True,Chesapeake bay retriever,0.118184,True
890240255349198849,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,2017-07-26 15:59:51,14,10,Cassie,doggo,7711.0,32467.0,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
890006608113172480,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek ,2017-07-26 00:31:25,13,10,Koda,None,7624.0,31166.0,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True
889880896479866881,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy ,2017-07-25 16:11:53,13,10,Bruno,None,5156.0,28268.0,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,French bulldog,0.377417,True,Labrador retriever,0.151317,True,Muzzle,0.0829811,False
889665388333682689,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 ,2017-07-25 01:55:32,13,10,None,puppo,8538.0,38818.0,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True
